date,Confirmados,Activos,Fallecidos,Recuperados
2020-03-21,5,5,0,0
2020-03-22,5,5,0,0
2020-03-23,5,5,0,0
2020-03-24,5,5,0,0
2020-03-25,6,6,0,0
2020-03-26,8,8,0,0
2020-03-27,9,8,1,0
2020-03-28,9,8,1,0
2020-03-29,10,9,1,0
2020-03-30,12,11,1,0
2020-03-31,14,13,1,0
2020-04-01,25,23,2,0
2020-04-02,26,22,3,1
2020-04-03,27,23,3,1
2020-04-04,29,25,3,1
2020-04-05,31,26,3,2
2020-04-06,31,25,3,3
2020-04-07,36,29,4,3
2020-04-08,41,34,4,3
2020-04-09,48,41,4,3
2020-04-10,53,46,4,3
2020-04-11,55,46,4,5
2020-04-12,57,48,4,5
2020-04-13,59,50,4,5
2020-04-14,62,49,5,8
2020-04-15,65,51,6,8
2020-04-16,68,52,6,10
2020-04-17,68,51,7,10
2020-04-18,69,52,7,10
2020-04-19,70,53,7,10
2020-04-20,70,45,8,17
2020-04-21,70,45,8,17
2020-04-22,70,45,8,17
2020-04-23,70,44,9,17
2020-04-24,70,34,9,27
2020-04-25,70,34,9,27
2020-04-26,70,34,9,27
2020-04-27,70,33,9,28
2020-04-28,71,34,9,28
2020-04-29,74,35,9,30
2020-04-30,79,40,9,30
2020-05-01,79,40,9,30
2020-05-02,79,40,9,30
2020-05-03,79,40,9,30
2020-05-04,80,41,9,30
2020-05-05,80,41,9,30
2020-05-06,80,29,9,42
2020-05-07,81,30,9,42
2020-05-08,81,29,9,43
2020-05-09,81,29,9,43
2020-05-10,81,29,9,43
2020-05-11,81,29,9,43
2020-05-12,82,30,9,43
2020-05-13,82,20,9,53
2020-05-14,82,19,9,54
2020-05-15,82,19,9,54
2020-05-16,82,19,9,54
2020-05-17,82,19,9,54
2020-05-18,82,19,9,54
2020-05-19,82,13,9,60
2020-05-20,82,11,9,62
2020-05-21,83,12,9,62
2020-05-22,83,10,9,64
2020-05-23,83,9,9,65
2020-05-24,83,9,9,65
2020-05-25,83,9,9,65
2020-05-26,83,9,9,65
2020-05-27,83,7,9,67
2020-05-28,83,7,9,67
2020-05-29,86,10,9,67
2020-05-30,86,10,9,67
2020-05-31,94,18,9,67
2020-06-01,94,18,9,67
2020-06-02,94,18,9,67
2020-06-03,94,18,9,67
2020-06-04,94,14,9,71
2020-06-05,94,14,9,71
2020-06-06,94,14,9,71
2020-06-07,94,14,9,71
2020-06-08,95,15,9,71
2020-06-09,96,16,9,71
2020-06-10,96,14,9,73
2020-06-11,96,14,9,73
2020-06-12,98,8,9,81
2020-06-13,99,9,9,81
2020-06-14,105,15,9,81
2020-06-15,108,15,9,84
2020-06-16,109,16,9,84
2020-06-17,110,17,9,84
2020-06-18,113,20,9,84
2020-06-19,116,23,9,84
2020-06-20,124,31,9,84
2020-06-21,125,32,9,84
2020-06-22,127,32,9,86
2020-06-23,137,42,9,86
2020-06-24,142,47,9,86
2020-06-25,144,49,9,86
2020-06-26,148,51,9,88
2020-06-27,155,57,10,88
2020-06-28,157,51,10,96
2020-06-29,158,52,10,96
2020-06-30,162,56,10,96
2020-07-01,170,64,10,96
2020-07-02,174,68,10,96
2020-07-03,176,66,10,100
2020-07-04,183,73,10,100
2020-07-05,189,79,10,100
2020-07-06,203,85,10,108
2020-07-07,222,104,10,108
2020-07-08,239,121,10,108
2020-07-09,249,131,10,108
2020-07-10,263,139,10,114
2020-07-11,279,155,10,114
2020-07-12,294,170,10,114
2020-07-13,303,166,10,127
2020-07-14,347,210,10,127
2020-07-15,363,225,11,127
2020-07-16,382,237,13,132
2020-07-17,444,298,14,132
2020-07-18,490,342,16,132
2020-07-19,524,375,17,132
2020-07-20,559,388,17,154
2020-07-21,622,451,17,154
2020-07-22,660,487,19,154
2020-07-23,721,547,20,154
2020-07-24,799,613,20,166
2020-07-25,831,644,21,166
2020-07-26,880,689,25,166
